track_name,track_id,artist,date_added,release_date,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Don't Worry Baby,0nR0ejXiTIg57q07kTL5ZL,The Brook & The Bluff,2022-11-06T15:52:02Z,2020-10-09,41,180468,0.546,0.279,6,-10.435,1,0.0279,0.817,0,0.176,0.26,109.689,4
I Got A Girl,46lcriHXwIyXFjSMRNsrfA,Jukebox The Ghost,2022-11-17T05:48:29Z,2022-11-17,0,134213,0.708,0.642,0,-6.367,1,0.0376,0.185,0.00035,0.304,0.875,137.964,4
Petals on the Floor,0YEzueiFLkzhTn7Iv8Ykol,The Brook & The Bluff,2022-11-30T20:20:48Z,2021-10-08,0,178422,0.506,0.469,6,-9.596,1,0.0289,0.678,0.127,0.109,0.473,76.443,4
Like She Does,3unwRjZc4YieBIrR9awcY8,Dayglow,2022-12-08T17:52:22Z,2022-10-07,37,272640,0.652,0.805,3,-3.741,1,0.0304,0.0587,4.79e-06,0.106,0.828,123.012,4
Sorry for Me,4289fDdoUOO0lmeuQAW4la,Ricky Montgomery,2022-12-13T21:04:43Z,2022-04-15,28,197513,0.513,0.494,1,-7.407,1,0.0278,0.159,1.5e-05,0.102,0.316,145.147,4
Second Nature,0fiViisu7WflcoY6YedSnq,Dayglow,2022-12-18T19:15:14Z,2022-10-07,38,347146,0.744,0.896,7,-3.191,1,0.0381,0.0827,0.00156,0.0696,0.743,115.038,4
Talking To Light,2lvIvSM3FVjtYJL0QEslmE,Dayglow,2022-12-20T03:26:07Z,2022-10-07,33,182733,0.709,0.854,7,-3.756,1,0.0423,0.35,0.000869,0.0629,0.956,144.996,4
STARSTUD,5mIJcoiZvZw1mxQHEayD7s,Matt Watson,2023-01-10T04:15:08Z,2022-11-07,0,188500,0.709,0.826,3,-8.455,1,0.043,0.128,4.88e-06,0.349,0.316,119.987,4
Funky Galileo,0TAHhMjG17P5pzlSm1sgSl,Sure Sure,2023-01-19T17:02:14Z,2020-03-06,50,246200,0.802,0.325,10,-9.327,1,0.0466,0.164,0.162,0.156,0.648,110.995,4
Closer to You,5agTqEuMNi0RXgASfpgUUD,Sammy Rae & The Friends,2023-01-24T16:19:36Z,2023-01-20,39,238687,0.512,0.355,2,-8.776,1,0.101,0.637,0,0.0864,0.56,175.66,4
